start_station_name
Winthrop Ave & Lawrence Ave
Dearborn Pkwy & Delaware Pl
Lamon Ave & Armitage Ave
Public Rack - Maplewood Ave & 47th St
Clinton St & Tilden St
Buckingham - Fountain
Artesian Ave & 55th St
Troy St & Grace St
Smith Park
Paulina St & Flournoy St
Budlong Woods Library
Stewart Ave & 63rd St
Austin Blvd & Madison St
Austin Blvd & Chicago Ave
Prairie Ave & Garfield Blvd
Public Rack - Washtenaw Ave & Devon Ave
Lincoln Ave & Balmoral Ave
Eastlake Ter & Howard St
Evans Ave & 75th St
Milwaukee Ave & Wabansia Ave
Racine Ave & Congress Pkwy
Morgan St & Lake St*
LaSalle St & Washington St
Marine Dr & Ainslie St
State St & 35th St
Albany Ave & Belmont Ave
Elston Ave & Henderson St
Perry Ave & 69th St
Lake Park Ave & 53rd St
Columbus Dr & Randolph St
Public Rack - Kedzie Ave & 60th St
Clark St & Chicago Ave
Public Rack - Laramie Ave & Belmont Ave
S Wentworth Ave & W 111th St
Clark St & Elmdale Ave
Damen Ave & Madison St
Wentworth Ave & Cermak Rd
Shields Ave & 28th Pl
Leavitt St & North Ave
Wentworth Ave & 63rd St
Calumet Ave & 35th St
Wood St & 35th St
Ellis Ave & 55th St
Greenwood Ave & 47th St
Kedzie Ave & Chicago Ave
Karlov Ave & Madison St
South Shore Dr & 74th St
State St & 33rd St
Hamlin Ave & Grand Ave
Blackstone Ave & Hyde Park Blvd
Central Ave & Chicago Ave
Ellis Ave & 60th St
Mies van der Rohe Way & Chicago Ave
900 W Harrison St
Racine Ave & 18th St
Morgan St & Polk St
Franklin St & Lake St
Western Ave & Berteau Ave
Kedzie Ave & Milwaukee Ave
Public Rack - May St & 63rd St
Vincennes Ave & 104th St
Fort Dearborn Dr & 31st St*
Elizabeth St & Randolph St
Logan Blvd & Elston Ave
Green St & Randolph St*
Dayton St & North Ave
Ritchie Ct & Banks St
Kedzie Ave & 48th Pl
Southport Ave & Irving Park Rd
Sheffield Ave & Webster Ave
Meade Ave & Addison St
Campbell Ave & 51st St
Woodlawn Ave & 75th St
Fairfield Ave & Roosevelt Rd
Calumet Park
Public Rack - Washington Park Ct & 51st St
Michigan Ave & 71st St
Kedzie Ave & Bryn Mawr Ave
Francisco Ave & Hollywood Ave
May St & 69th St
Public Rack - Hollywood Park
Princeton Ave & 47th St
McCormick Blvd & Devon Ave
Ping Tom Park (East)
Public Rack - Western Ave & Devon Ave
Dodge Ave & Main St
Avenue O & 118th St
Cottage Grove Ave & 111th Pl
Harding Ave & 26th St
Maplewood Ave & 59th St
Wells St & Institute Pl
Southport Ave & Wrightwood Ave
Clifton Ave & Armitage Ave
Ashland Ave & Chicago Ave
Sedgwick St & North Ave
Sangamon St & Lake St
Broadway & Belmont Ave
State St & Van Buren St
Indiana Ave & Roosevelt Rd
St Louis Ave & 59th St
Public Rack - Lamon Ave & Erie St
Damen Ave & Coulter St
Kenosha Ave & Wellington Ave
Narragansett Ave & School St
Cicero Ave & Flournoy St
Paulina St & Howard St
Canal St & Adams St
Leavitt St & Chicago Ave
Jeffery Blvd & 76th St
Warren Park West
Public Rack - Normal Ave & 111th St
Ashland Ave & 78th St
State St & 79th St
Michigan Ave & Oak St
Noble St & Milwaukee Ave (Temp)
Museum of Science and Industry
Humboldt Blvd & Armitage Ave
Shields Ave & 31st St
Spaulding Ave & Armitage Ave
Springfield Ave & 47th St
California Ave & 71st St
Artesian Ave & 71st St
Washtenaw Ave & Peterson Ave
Martin Luther King Dr & 111th St
California Ave & Granville Ave
Western Ave & Howard St
Public Rack - Calumet Ave & 51st St
Hampden Ct & Diversey Ave
Damen Ave/Coulter St
Elmwood Ave & Austin St
Public Rack - Hoyne Ave & 51st St
Artesian Ave & Marquette Rd
Public Rack - Cottage Grove & 86th St
Commercial Ave & 130th St
Commercial Ave & 100th St
Kedzie Ave & 21st St
Pulaski Rd & 51st St
S Aberdeen St & W 106th St
Christiana Ave & Lawrence Ave
Lincoln Ave & Fullerton Ave
Damen Ave & Wabansia Ave
Halsted St & Dickens Ave
Stony Island Ave & 71st St
Public Rack - Ozman & Talcott
Greenview Ave & Fullerton Ave
Sawyer Ave & Irving Park Rd
California Ave & 26th St
Kilpatrick Ave & Grand Ave
California Ave & Lake St
Chicago Ave & Washington St
Public Rack - Champlain Ave & 65th St
Sacramento Blvd & Addison St
N Southport Ave & W Newport Ave
Central Park Ave & Elbridge Ave
Malcolm X College
Orleans St & Elm St
Broadway & Barry Ave
Sheridan Rd & Irving Park Rd
Kildare Ave & Montrose Ave
Public Rack - Western Blvd & 49th St
Broadway & Waveland Ave
Sheridan Rd & Buena Ave
Greenview Ave & Jarvis Ave
Lincoln Ave & Peterson Ave
Dearborn St & Adams St
Washtenaw Ave & Lawrence Ave
Public Rack - Laramine Ave & Winnemac Ave
Elizabeth St & 47th St
Valli Produce - Evanston Plaza
Ashland Ave & Archer Ave
Ashland Ave & Pershing Rd
Ashland Ave & 13th St
Milwaukee Ave & Cuyler Ave
Phillips Ave & 83rd St
Public Rack - 82nd st & Kedzie Ave
Dodge Ave & Mulford St
Cicero Ave & Grace St
Western Ave & Walton St
Wells St & 19th St
Halsted St & 51st St
Morgan St & Pershing Rd
MLK Jr Dr & 47th St
Clark St & Touhy Ave
Doty Ave & 111th St
Central St & Girard Ave
Dorchester Ave & 49th St
Public Rack - Kostner Ave & Armitage Ave
Clinton St & Polk St
Ewing Ave & Burnham Greenway
Jeffery Blvd & 71st St
Clark St & Leland Ave
N Paulina St & Lincoln Ave
Racine Ave & Randolph St
Ashland Ave & 66th St
Western Ave & 28th St
Public Rack - Bishop St & 46th St
Rainbow Beach
Ellis Ave & 83rd St
2112 W Peterson Ave
Indiana Ave & 40th St
W Washington Blvd & N Peoria St
Wentworth Ave & 24th St
Damen Ave & Walnut (Lake) St
South Shore Dr & 71st St
Public Rack - Western Ave & 111th St - SW
Washtenaw Ave & Ogden Ave
Commercial Ave & 83rd St
Long Ave & Belmont Ave
Sacramento Blvd & Fulton Ave
Pulaski Rd & Eddy St
Central Park Ave & Ogden Ave
Kilbourn Ave & Irving Park Rd
Laramie Ave & Kinzie St
MLK Jr Dr & 83rd St
State St & 76th St
Sacramento Blvd & Franklin Blvd
Campbell Ave & Irving Park Rd
Talman Ave & Addison St
Halsted St & 47th Pl
Public Rack - Central Ave & George St
Halsted St & 73rd St
Kenneth Ave & 50th St
Damen Ave & 33rd St
Albany Ave & 16th St
Drake Ave & Montrose Ave
Millard Ave & 26th St
Public Rack - Ashland Ave & 91st St
Halsted St & 96th St
Lawndale Ave & 111th St
Sacramento Ave & Pershing Rd
Public Rack - Western Ave & 96th St
Public Rack - Nordica & Archer
South Chicago Ave & 83rd St
Public Rack - Monticello Ave & Belmont Ave
Public Rack - Milwaukee Ave & Catalpa Ave
Public Rack - Washtenaw Ave & Superior St
Ashland Ave & 74th St
Augusta Blvd & Laramie Ave
Delano Ct & Roosevelt Rd
Canal St & Madison St
Lawler Ave & 50th St
Kilbourn & Belden
East End Ave & 87th St
Rush St & Superior St
Ridge Blvd & Touhy Ave
Bissell St & Armitage Ave*
Sheffield Ave & Waveland Ave
Field Museum
MTV Hubbard St
Tripp Ave & 15th St
Steelworkers Park
Kedzie Ave & 73rd St
Public Rack - Hamlin Ave & Madison St
Public Rack - Stewart Ave & 123rd St
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE
Troy Ave & 27th St
Halsted St & 111th St
Pulaski Rd & 21st St
Racine Ave & 61st St
Public Rack - Lake Park Ave & 47th St
Public Rack - St Louis & Lincoln
Public Rack - Kostner & 83rd
Public Rack - Keystone Ave & North Ave
Public Rack - Peterson Ave & Milwaukee Ave
Public Rack - Vincennes Ave & 95th Pl
Harlem Ave & Grace St
Public Rack - Kenneth & Carmen
Public Rack - Pulaski Rd & Lake St
Latrobe Ave & Chicago Ave
Public Rack - Woodlawn Ave & 63rd St N
Virginia Ave & Catalpa Ave
Public Rack - Harlem & Palatine
Torrence Ave & 126th Pl
Fullerton & Monitor
Public Rack - Western & 79th
Public Rack - Throop St & 58th St
Public Rack - Exchange Ave & 73rd Pl
Public Rack - Wolcott Ave & 61st St
Stony Island Ave & 82nd St
Elston Ave & George St
Francisco Ave & 47th St
Public Rack - Lowell Ave & Elston Ave
Clinton St & Lake St
Clark St & Wrightwood Ave
Blue Island Ave & 18th St
Ashland Ave & Division St
May St & Taylor St
Ogden Ave & Roosevelt Rd
Clark St & Winnemac Ave
Hermitage Ave & Polk St
Calumet Ave & 21st St
Harlem & Irving Park
Lake Park Ave & 56th St
Public Rack - Karlov Ave & Lawrence Ave
Francisco Ave & Chicago Ave
Public Rack - Melvina Ave & Montrose Ave
Public Rack - Mango & Higgins
Public Rack - Milwaukee Ave & Culyer Ave
Ridge Blvd & Howard St
Public Rack - Menard Ave & Dakin St - midblock
Stewart Ave & 83rd St
Long & Irving Park
Halsted St & 69th St
Jeffery Blvd & 67th St
Public Rack - Milwaukee Ave & Pensacola Ave
St. Clair St & Erie St
Southport Ave & Waveland Ave
Broadway & Granville Ave
Clark St & Lunt Ave
Wacker Dr & Washington St
Sangamon St & Washington Blvd
University Ave & 57th St
State St & Pershing Rd
Paulina Ave & 87th St
Olive Harvey College
Public Rack - Central Ave & Pensacola Ave
Public Rack - Laramie Ave & Fullerton Ave
Central Park Ave & 24th St
Baltimore Ave & 87th St
N Damen Ave & W Chicago Ave
Elizabeth St & 92nd St
Clark St & North Ave
Avers Ave & Belmont Ave
Lincoln Ave & Sunnyside Ave
Wabash Ave & Cermak Rd
